iter	Passed	Remaining
284	481	1208
285	482	1205
286	484	1202
287	485	1199
288	486	1196
289	487	1193
290	488	1189
291	489	1186
292	490	1183
293	491	1180
294	492	1177
295	493	1174
296	495	1172
297	496	1169
298	497	1166
299	498	1163
300	499	1160
301	500	1157
302	501	1154
303	503	1151
304	504	1148
305	505	1145
306	506	1142
307	507	1139
308	508	1137
309	509	1134
310	510	1131
311	511	1128
312	513	1126
313	514	1123
314	515	1120
315	516	1117
316	517	1114
317	518	1111
318	519	1108
319	520	1105
320	521	1103
321	522	1100
322	524	1098
323	525	1096
324	526	1093
325	527	1090
326	528	1088
327	530	1086
328	531	1083
329	532	1080
330	533	1078
331	534	1075
332	535	1072
333	536	1070
334	538	1068
335	539	1065
336	540	1063
337	541	1060
338	543	1059
339	544	1056
340	545	1054
341	546	1051
342	547	1048
343	548	1046
344	549	1043
345	550	1041
346	552	1039
347	555	1041
348	556	1038
349	557	1036
350	558	1033
351	560	1031
352	561	1029
353	562	1027
354	564	1024
355	565	1022
356	566	1020
357	568	1018
358	569	1017
359	570	1014
360	571	1012
361	573	1010
362	574	1007
363	575	1005
364	576	1002
365	577	1000
366	578	997
367	579	995
368	580	993
369	582	991
370	583	989
371	585	987
372	586	985
373	587	982
374	588	981
375	589	979
376	591	976
377	592	974
378	593	971
379	594	969
380	595	967
381	597	965
382	598	964
383	599	961
384	600	959
385	601	957
386	602	954
387	603	952
388	604	950
389	605	947
390	607	945
391	608	943
392	609	940
393	610	938
394	612	937
395	613	935
396	614	933
397	615	931
398	616	928
399	617	926
400	619	924
401	620	922
402	621	920
403	622	918
404	623	915
405	624	913
406	625	911
407	627	910
408	628	908
409	629	906
410	630	903
411	631	901
412	632	899
413	634	898
414	635	896
415	636	894
416	638	892
417	639	890
418	641	889
419	642	887
420	643	885
421	644	883
422	646	881
423	647	879
424	648	877
425	649	875
426	650	873
427	651	871
428	652	868
429	653	866
430	655	865
431	657	863
432	658	861
433	659	859
434	660	858
435	661	856
436	663	854
437	664	852
438	665	849
439	666	847
440	667	845
441	668	844
442	670	842
443	671	841
444	672	838
445	673	837
446	674	835
447	676	833
448	677	831
449	678	829
450	679	826
451	680	824
452	681	822
453	682	820
454	683	819
455	685	817
456	686	815
457	687	813
458	688	811
459	690	810
460	691	808
461	692	806
462	693	804
463	694	802
464	695	800
465	696	798
466	698	797
467	700	795
468	701	794
469	702	792
